# KepID, RA (deg), Dec (deg), Teff, Rs, Ms, FeH, Kp, period, period_unc, Ksini, Ksini_unc, T_0_ellip (BJD), T_0_refl (BJD), A_refl, A_ellip, phase_offsets, SNR, probability
9570402,282.57468,46.246761,6103,0.95,1.03,-0.2,14,1.683,0.0007,156,151,2456424.314,2456424.078,48.1,4.3,-0.141,0.7,0.994
9724972,297.30585,46.40382,6017,0.99,0.91,-0.38,14.2,2.0872,0.0013,256,227,2456424.044,2456424.244,32.6,6.7,0.596,0.47,0.978
10068024,288.84711,47.022911,6349,1.06,1.08,-0.22,13.1,2.0735,0.0012,229,243,2456423.228,2456423.072,20.6,5.6,-0.075,0.47,0.985
10091175,297.48868,47.075291,6063,1.01,1.12,0.07,14.5,1.8757,0.0009,394,385,2456424.557,2456424.704,39.4,9.9,0.578,0.42,0.991
10619862,298.57874,47.862099,5783,0.88,0.98,-0.08,14.5,3.0538,0.0025,190,247,2456422.91,2456422.961,33.7,1.8,0.017,0.38,0.988
10931452,296.54721,48.30257,6666,1.54,1.14,-0.38,12.7,2.7001,0.0023,108,91,2456422.603,2456422.62,21.7,4.5,0.006,0.66,0.971
11152428,298.03064,48.79137,6774,1.35,1.25,-0.26,13.8,1.1726,0.0003,89,85,2456424.068,2456423.968,33.6,8.8,-0.585,0.5,0.982
11235536,287.17719,48.932812,5631,0.81,0.88,-0.24,15.5,1.4585,0.0005,307,262,2456424.454,2456424.454,54.7,8.8,0,0.35,0.992
11362225,297.0674805,49.18819,6623,1.9,1.45,0.04,12,2.7513,0.0021,103,71,2456422.57,2456422.952,42.4,5.9,0.139,1,0.995
12207153,290.57666,50.807789,5569,0.89,1.01,0.21,14.8,1.4225,0.0005,257,217,2456422.803,2456423.086,30.2,8.6,0.699,0.24,0.979
12357100,291.47293,51.111431,5880,0.92,1.01,-0.06,15.1,2.6613,0.0021,258,302,2456423.005,2456423.018,36.7,3.2,0.005,0.25,0.979
